analysis_set,dataset,endpoint_class,test_row_index,multiplicity
archived_matches,CHEMBL214_Ki,cliff,7,1
archived_matches,CHEMBL214_Ki,cliff,9,3
archived_matches,CHEMBL214_Ki,cliff,10,1
archived_matches,CHEMBL214_Ki,cliff,21,2
archived_matches,CHEMBL214_Ki,cliff,22,3
archived_matches,CHEMBL214_Ki,cliff,28,1
archived_matches,CHEMBL214_Ki,cliff,29,1
archived_matches,CHEMBL214_Ki,cliff,31,2
archived_matches,CHEMBL214_Ki,cliff,33,1
archived_matches,CHEMBL214_Ki,cliff,34,1
archived_matches,CHEMBL214_Ki,cliff,38,2
archived_matches,CHEMBL214_Ki,cliff,39,5
archived_matches,CHEMBL214_Ki,cliff,40,3
archived_matches,CHEMBL214_Ki,cliff,41,2
archived_matches,CHEMBL214_Ki,cliff,49,1
archived_matches,CHEMBL214_Ki,cliff,50,1
archived_matches,CHEMBL214_Ki,cliff,54,2
archived_matches,CHEMBL214_Ki,cliff,58,1
archived_matches,CHEMBL214_Ki,cliff,59,1
archived_matches,CHEMBL214_Ki,cliff,62,5
archived_matches,CHEMBL214_Ki,cliff,63,5
archived_matches,CHEMBL214_Ki,cliff,64,4
archived_matches,CHEMBL214_Ki,cliff,65,5
archived_matches,CHEMBL214_Ki,cliff,68,3
archived_matches,CHEMBL214_Ki,cliff,69,2
archived_matches,CHEMBL214_Ki,cliff,70,1
archived_matches,CHEMBL214_Ki,cliff,74,1
archived_matches,CHEMBL214_Ki,cliff,75,1
archived_matches,CHEMBL214_Ki,cliff,81,1
archived_matches,CHEMBL214_Ki,cliff,82,1
archived_matches,CHEMBL214_Ki,cliff,83,1
archived_matches,CHEMBL214_Ki,cliff,84,2
archived_matches,CHEMBL214_Ki,cliff,85,1
archived_matches,CHEMBL214_Ki,cliff,86,4
archived_matches,CHEMBL214_Ki,cliff,87,2
archived_matches,CHEMBL214_Ki,cliff,88,3
archived_matches,CHEMBL214_Ki,cliff,89,1
archived_matches,CHEMBL214_Ki,cliff,90,1
archived_matches,CHEMBL214_Ki,cliff,91,2
archived_matches,CHEMBL214_Ki,cliff,92,2
archived_matches,CHEMBL214_Ki,cliff,93,2
archived_matches,CHEMBL214_Ki,cliff,107,1
archived_matches,CHEMBL214_Ki,cliff,108,1
archived_matches,CHEMBL214_Ki,cliff,123,1
archived_matches,CHEMBL214_Ki,cliff,124,1
archived_matches,CHEMBL214_Ki,cliff,135,2
archived_matches,CHEMBL214_Ki,cliff,137,2
archived_matches,CHEMBL214_Ki,cliff,138,2
archived_matches,CHEMBL214_Ki,cliff,140,3
archived_matches,CHEMBL214_Ki,cliff,142,3
archived_matches,CHEMBL214_Ki,cliff,149,1
archived_matches,CHEMBL214_Ki,cliff,152,1
archived_matches,CHEMBL214_Ki,cliff,161,1
archived_matches,CHEMBL214_Ki,cliff,163,2
archived_matches,CHEMBL214_Ki,cliff,164,1
archived_matches,CHEMBL214_Ki,cliff,212,2
archived_matches,CHEMBL214_Ki,cliff,240,1
archived_matches,CHEMBL214_Ki,cliff,241,4
archived_matches,CHEMBL214_Ki,cliff,242,2
archived_matches,CHEMBL214_Ki,cliff,243,2
archived_matches,CHEMBL214_Ki,cliff,244,3
archived_matches,CHEMBL214_Ki,cliff,245,1
archived_matches,CHEMBL214_Ki,cliff,246,3
archived_matches,CHEMBL214_Ki,cliff,254,1
archived_matches,CHEMBL214_Ki,cliff,258,1
archived_matches,CHEMBL214_Ki,cliff,267,1
archived_matches,CHEMBL214_Ki,cliff,268,1
archived_matches,CHEMBL214_Ki,cliff,315,1
archived_matches,CHEMBL214_Ki,cliff,316,1
archived_matches,CHEMBL214_Ki,cliff,326,1
archived_matches,CHEMBL214_Ki,cliff,332,3
archived_matches,CHEMBL214_Ki,cliff,344,1
archived_matches,CHEMBL214_Ki,cliff,346,1
archived_matches,CHEMBL214_Ki,cliff,348,1
archived_matches,CHEMBL214_Ki,cliff,349,1
archived_matches,CHEMBL214_Ki,cliff,353,1
archived_matches,CHEMBL214_Ki,cliff,355,1
archived_matches,CHEMBL214_Ki,cliff,368,1
archived_matches,CHEMBL214_Ki,cliff,369,1
archived_matches,CHEMBL214_Ki,cliff,371,1
archived_matches,CHEMBL214_Ki,cliff,372,4
archived_matches,CHEMBL214_Ki,cliff,374,1
archived_matches,CHEMBL214_Ki,cliff,375,3
archived_matches,CHEMBL214_Ki,cliff,377,1
archived_matches,CHEMBL214_Ki,cliff,380,2
archived_matches,CHEMBL214_Ki,cliff,390,1
archived_matches,CHEMBL214_Ki,cliff,405,1
archived_matches,CHEMBL214_Ki,cliff,407,1
archived_matches,CHEMBL214_Ki,cliff,409,1
archived_matches,CHEMBL214_Ki,cliff,421,1
archived_matches,CHEMBL214_Ki,cliff,422,3
archived_matches,CHEMBL214_Ki,cliff,423,1
archived_matches,CHEMBL214_Ki,cliff,425,1
archived_matches,CHEMBL214_Ki,cliff,434,2
archived_matches,CHEMBL214_Ki,cliff,436,2
archived_matches,CHEMBL214_Ki,cliff,437,2
archived_matches,CHEMBL214_Ki,cliff,439,1
archived_matches,CHEMBL214_Ki,cliff,440,2
archived_matches,CHEMBL214_Ki,cliff,446,1
archived_matches,CHEMBL214_Ki,cliff,491,1
archived_matches,CHEMBL214_Ki,cliff,492,1
archived_matches,CHEMBL214_Ki,cliff,497,4
archived_matches,CHEMBL214_Ki,cliff,498,3
archived_matches,CHEMBL214_Ki,cliff,499,1
archived_matches,CHEMBL214_Ki,cliff,500,1
archived_matches,CHEMBL214_Ki,cliff,501,9
archived_matches,CHEMBL214_Ki,cliff,502,7
archived_matches,CHEMBL214_Ki,cliff,508,2
archived_matches,CHEMBL214_Ki,cliff,509,1
